device_id,id,name,coordinates,precise
MI163325,211,"Goodwill - Oxford, MI (Dell Reconnect location)","[-83.25728516093089, 42.818479019745695]",0
MI163325,212,"Goodwill - Flint, MI (Dell Reconnect location) ","[-83.7621596710891, 42.98279806901949]",0
MI163325,213,"Unverified location, Warren, MI ","[-83.02640344700683, 42.49989228691551]",0
MI163325,214,"Unverified location, Groveport, OH ","[-82.89095697619345, 39.853515177621944]",0
MI163325,215,"Unverified location, Commerce City, CA ","[-118.15865014486205, 34.000414089838]",0
MI163325,216,"Unverified location, San Diego, CA ","[-117.13650531987527, 32.71673099627898]",0
MI163325,217,"Unverified location, City of Industry, CA ","[-117.95713416128936, 34.0176983780788]",0
MI163325,218,Golden Valley Trading ,"[-117.690472, 34.001151]",1
MI163325,219,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
MI163325,220,"Hong Kong, New Territories ","[114.08558, 22.502218]",1
MI163325,221,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
MI163325,222,"Taiwan, Port of Keelung ","[121.7565526413724, 25.149297630417877]",0
MI163325,223,"Taiwan, Miaoli County, Farm location ","[120.884154, 24.663495]",1
MI163325,224,"Taiwan, MRTI Corporation","[120.820892, 24.632225]",1
MI163325,225,"Taiwan, Houlong Township, Unverified location","[120.7868651544842, 24.616750921742554]",0
MI163960,226,Great Lakes Recycling,"[-83.19854358978417, 42.486652806633444]",1
MI163960,227,"Unverified location, Minneapolis, MN ","[-93.26729806099334, 44.97507267856616]",0
MI163960,228,"Unknown warehouse, St. Paul, MN ","[-93.071178, 44.964379]",1
MI163960,229,"Port Newark, NJ ","[-74.14698983552468, 40.69050319579005]",0
MI163960,230,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
MI163960,231,"Hong Kong, New Territories ","[114.07212, 22.484895]",1
